stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
AL,01,METRO33860M33860,Autauga County,"Montgomery, AL MSA",0100199999,58761,860,870,1016,1304,1537
AL,01,METRO19300M19300,Baldwin County,"Daphne-Fairhope-Foley, AL MSA",0100399999,233420,1094,1200,1345,1692,2171
AL,01,NCNTY01005N01005,Barbour County,"Barbour County, AL",0100599999,24877,576,693,776,1017,1068
AL,01,METRO13820M13820,Bibb County,"Birmingham-Hoover, AL HUD Metro FMR Area",0100799999,22251,1024,1155,1266,1583,1801
AL,01,METRO13820M13820,Blount County,"Birmingham-Hoover, AL HUD Metro FMR Area",0100999999,59077,1024,1155,1266,1583,1801
AL,01,NCNTY01011N01011,Bullock County,"Bullock County, AL",0101199999,10328,576,708,776,930,1302
AL,01,NCNTY01013N01013,Butler County,"Butler County, AL",0101399999,18981,622,638,837,1004,1139
AL,01,METRO11500M11500,Calhoun County,"Anniston-Oxford, AL MSA",0101599999,116162,753,757,962,1300,1361
AL,01,NCNTY01017N01017,Chambers County,"Chambers County, AL",0101799999,34612,691,770,1002,1265,1327
AL,01,NCNTY01019N01019,Cherokee County,"Cherokee County, AL",0101999999,25069,627,682,844,1012,1259
AL,01,METRO13820N01021,Chilton County,"Chilton County, AL HUD Metro FMR Area",0102199999,45140,734,739,970,1274,1448
AL,01,NCNTY01023N01023,Choctaw County,"Choctaw County, AL",0102399999,12669,578,616,778,1024,1179
AL,01,NCNTY01025N01025,Clarke County,"Clarke County, AL",0102599999,23058,588,603,791,1034,1261
AL,01,NCNTY01027N01027,Clay County,"Clay County, AL",0102799999,14209,576,591,776,1024,1027
AL,01,NCNTY01029N01029,Cleburne County,"Cleburne County, AL",0102999999,15144,644,687,867,1082,1148
AL,01,NCNTY01031N01031,Coffee County,"Coffee County, AL",0103199999,53559,693,711,933,1298,1383
AL,01,METRO22520M22520,Colbert County,"Florence-Muscle Shoals, AL MSA",0103399999,57270,698,775,1000,1242,1409
AL,01,NCNTY01035N01035,Conecuh County,"Conecuh County, AL",0103599999,11576,576,615,776,1079,1157
AL,01,NCNTY01037N01037,Coosa County,"Coosa County, AL",0103799999,10329,576,615,776,1079,1157
AL,01,NCNTY01039N01039,Covington County,"Covington County, AL",0103999999,37542,576,591,776,999,1302
AL,01,NCNTY01041N01041,Crenshaw County,"Crenshaw County, AL",0104199999,13205,588,591,776,930,1027
AL,01,NCNTY01043N01043,Cullman County,"Cullman County, AL",0104399999,88284,666,670,879,1137,1381
AL,01,NCNTY01045N01045,Dale County,"Dale County, AL",0104599999,49455,603,690,776,1079,1302
AL,01,NCNTY01047N01047,Dallas County,"Dallas County, AL",0104799999,38326,620,637,836,1103,1107
AL,01,NCNTY01049N01049,DeKalb County,"DeKalb County, AL",0104999999,71680,576,591,776,992,1302
AL,01,METRO33860M33860,Elmore County,"Montgomery, AL MSA",0105199999,87694,860,870,1016,1304,1537
AL,01,NCNTY01053N01053,Escambia County,"Escambia County, AL",0105399999,36755,576,675,776,972,1203
AL,01,METRO23460M23460,Etowah County,"Gadsden, AL MSA",0105599999,103348,639,792,927,1124,1304
AL,01,NCNTY01057N01057,Fayette County,"Fayette County, AL",0105799999,16297,576,671,776,1079,1157
AL,01,NCNTY01059N01059,Franklin County,"Franklin County, AL",0105999999,32011,576,704,776,976,1071
AL,01,METRO20020M20020,Geneva County,"Dothan, AL HUD Metro FMR Area",0106199999,26647,757,762,950,1288,1428
AL,01,METRO46220M01063,Greene County,"Greene County, AL HUD Metro FMR Area",0106399999,7706,863,869,1140,1367,1509
AL,01,METRO46220M46220,Hale County,"Tuscaloosa, AL HUD Metro FMR Area",0106599999,14742,966,972,1169,1490,1548
AL,01,METRO20020N01067,Henry County,"Henry County, AL HUD Metro FMR Area",0106799999,17282,665,669,878,1078,1217
AL,01,METRO20020M20020,Houston County,"Dothan, AL HUD Metro FMR Area",0106999999,107040,757,762,950,1288,1428
AL,01,NCNTY01071N01071,Jackson County,"Jackson County, AL",0107199999,52618,576,643,776,1004,1234
AL,01,METRO13820M13820,Jefferson County,"Birmingham-Hoover, AL HUD Metro FMR Area",0107399999,672265,1024,1155,1266,1583,1801
AL,01,NCNTY01075N01075,Lamar County,"Lamar County, AL",0107599999,13885,618,636,776,1024,1040
AL,01,METRO22520M22520,Lauderdale County,"Florence-Muscle Shoals, AL MSA",0107799999,94329,698,775,1000,1242,1409
AL,01,METRO19460M19460,Lawrence County,"Decatur, AL MSA",0107999999,33116,755,776,961,1262,1550
AL,01,METRO12220M12220,Lee County,"Auburn-Opelika, AL HUD Metro FMR Area",0108199999,175126,847,1077,1181,1494,1699
AL,01,METRO26620M26620,Limestone County,"Huntsville, AL MSA",0108399999,104199,1030,1136,1310,1690,2109
AL,01,METRO33860M33860,Lowndes County,"Montgomery, AL MSA",0108599999,10153,860,870,1016,1304,1537
AL,01,METRO12220N01087,Macon County,"Macon County, AL HUD Metro FMR Area",0108799999,19198,720,758,995,1222,1501
AL,01,METRO26620M26620,Madison County,"Huntsville, AL MSA",0108999999,389781,1030,1136,1310,1690,2109
AL,01,NCNTY01091N01091,Marengo County,"Marengo County, AL",0109199999,19180,582,693,783,1018,1187
AL,01,NCNTY01093N01093,Marion County,"Marion County, AL",0109399999,29203,535,591,776,1039,1302
AL,01,NCNTY01095N01095,Marshall County,"Marshall County, AL",0109599999,97923,588,591,776,1069,1073
AL,01,METRO33660M33660,Mobile County,"Mobile, AL MSA",0109799999,413878,854,919,1083,1414,1445
AL,01,NCNTY01099N01099,Monroe County,"Monroe County, AL",0109999999,19816,576,619,776,1079,1254
AL,01,METRO33860M33860,Montgomery County,"Montgomery, AL MSA",0110199999,228132,860,870,1016,1304,1537
AL,01,METRO19460M19460,Morgan County,"Decatur, AL MSA",0110399999,123102,755,776,961,1262,1550
AL,01,NCNTY01105N01105,Perry County,"Perry County, AL",0110599999,8479,596,636,803,963,1198
AL,01,METRO46220N01107,Pickens County,"Pickens County, AL HUD Metro FMR Area",0110799999,18925,588,591,776,994,1290
AL,01,NCNTY01109N01109,Pike County,"Pike County, AL",0110999999,32997,677,695,912,1093,1208
AL,01,NCNTY01111N01111,Randolph County,"Randolph County, AL",0111199999,22179,536,634,778,980,1126
AL,01,METRO17980M17980,Russell County,"Columbus, GA-AL HUD Metro FMR Area",0111399999,58849,895,939,1088,1445,1703
AL,01,METRO13820M13820,St. Clair County,"Birmingham-Hoover, AL HUD Metro FMR Area",0111599999,91719,1024,1155,1266,1583,1801
AL,01,METRO13820M13820,Shelby County,"Birmingham-Hoover, AL HUD Metro FMR Area",0111799999,223916,1024,1155,1266,1583,1801
AL,01,NCNTY01119N01119,Sumter County,"Sumter County, AL",0111999999,12196,619,642,827,1107,1193
AL,01,NCNTY01121N01121,Talladega County,"Talladega County, AL",0112199999,81105,561,682,814,1107,1112
AL,01,NCNTY01123N01123,Tallapoosa County,"Tallapoosa County, AL",0112399999,41251,637,663,857,1030,1216
AL,01,METRO46220M46220,Tuscaloosa County,"Tuscaloosa, AL HUD Metro FMR Area",0112599999,231558,966,972,1169,1490,1548
AL,01,METRO13820N01127,Walker County,"Walker County, AL HUD Metro FMR Area",0112799999,64978,644,724,886,1232,1481
AL,01,NCNTY01129N01129,Washington County,"Washington County, AL",0112999999,15434,729,818,983,1292,1314
AL,01,NCNTY01131N01131,Wilcox County,"Wilcox County, AL",0113199999,10441,632,656,843,1079,1261
AL,01,NCNTY01133N01133,Winston County,"Winston County, AL",0113399999,23655,576,631,776,1070,1150
AK,02,NCNTY02013N02013,Aleutians East Borough,"Aleutians East Borough, AK",0201399999,3407,993,1263,1385,1661,2281
AK,02,NCNTY02016N02016,Aleutians West Census Area,"Aleutians West Census Area, AK",0201699999,5219,1571,1670,2191,2652,2901
AK,02,METRO11260M11260,Anchorage Municipality,"Anchorage, AK HUD Metro FMR Area",0202099999,290674,1152,1243,1631,2268,2736
AK,02,NCNTY02050N02050,Bethel Census Area,"Bethel Census Area, AK",0205099999,18538,1688,1719,1938,2324,2566
AK,02,NCNTY02060N02060,Bristol Bay Borough,"Bristol Bay Borough, AK",0206099999,854,891,1134,1243,1729,2047
AK,02,NCNTY02063N02063,Chugach Census Area,"Chugach Census Area, AK",0206399999,7000,1038,1374,1506,2094,2526
AK,02,NCNTY02066N02066,Copper River Census Area,"Copper River Census Area, AK",0206699999,2614,810,930,1130,1572,1896
AK,02,NCNTY02068N02068,Denali Borough,"Denali Borough, AK",0206899999,2101,851,935,1187,1651,1955
AK,02,NCNTY02070N02070,Dillingham Census Area,"Dillingham Census Area, AK",0207099999,4854,894,1138,1247,1734,2054
AK,02,METRO21820M21820,Fairbanks North Star Borough,"Fairbanks-College, AK MSA",0209099999,96299,1156,1277,1676,2331,2812
AK,02,NCNTY02100N02100,Haines Borough,"Haines Borough, AK",0210099999,2079,945,1033,1321,1771,2088
AK,02,NCNTY02105N02105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK",0210599999,2329,1007,1113,1460,1751,1933
AK,02,NCNTY02110N02110,Juneau City and Borough,"Juneau City and Borough, AK",0211099999,32108,1212,1340,1758,2368,2679
AK,02,NCNTY02122N02122,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",0212299999,59235,993,1000,1312,1825,2201
AK,02,NCNTY02130N02130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK",0213099999,13910,1120,1238,1625,2260,2726
AK,02,NCNTY02150N02150,Kodiak Island Borough,"Kodiak Island Borough, AK",0215099999,13065,1431,1581,2075,2488,2747
AK,02,NCNTY02158N02158,Kusilvak Census Area,Kusilvak Census Area,0215899999,8372,698,767,973,1353,1602
AK,02,NCNTY02164N02164,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK",0216499999,999,739,894,1030,1391,1596
AK,02,METRO11260N02170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",0217099999,108661,1015,1049,1376,1914,2308
AK,02,NCNTY02180N02180,Nome Census Area,"Nome Census Area, AK",0218099999,10018,1227,1334,1533,2132,2525
AK,02,NCNTY02185N02185,North Slope Borough,"North Slope Borough, AK",0218599999,10924,1115,1239,1625,1958,2664
AK,02,NCNTY02188N02188,Northwest Arctic Borough,"Northwest Arctic Borough, AK",0218899999,7682,1331,1471,1930,2547,2676
AK,02,NCNTY02195N02195,Petersburg Borough,Petersburg Borough,0219599999,3374,1049,1211,1463,1754,2022
AK,02,NCNTY02198N02198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK",0219899999,5799,827,1030,1153,1464,1899
AK,02,NCNTY02220N02220,Sitka City and Borough,"Sitka City and Borough, AK",0222099999,8462,1099,1350,1566,2178,2627
AK,02,NCNTY02230N02230,Skagway Municipality,"Skagway Municipality, AK",0223099999,1303,1133,1253,1644,2245,2708
AK,02,NCNTY02240N02240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK",0224099999,6888,942,1198,1313,1826,2162
AK,02,NCNTY02275N02275,Wrangell City and Borough,"Wrangell City and Borough, AK",0227599999,2134,921,928,1217,1682,2042
AK,02,NCNTY02282N02282,Yakutat City and Borough,"Yakutat City and Borough, AK",0228299999,564,995,1094,1388,1753,2286
AK,02,NCNTY02290N02290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK",0229099999,5355,981,1019,1126,1566,1854
AZ,04,NCNTY04001N04001,Apache County,"Apache County, AZ",0400199999,66054,810,903,1175,1599,1828
AZ,04,METRO43420M43420,Cochise County,"Sierra Vista-Douglas, AZ MSA",0400399999,125504,887,1111,1257,1748,2109
AZ,04,METRO22380M22380,Coconino County,"Flagstaff, AZ MSA",0400599999,144705,1597,1727,1921,2343,2568
AZ,04,NCNTY04007N04007,Gila County,"Gila County, AZ",0400799999,53419,1120,1127,1479,1871,2170
AZ,04,NCNTY04009N04009,Graham County,"Graham County, AZ",0400999999,38453,887,991,1244,1669,2087
AZ,04,NCNTY04011N04011,Greenlee County,"Greenlee County, AZ",0401199999,9483,798,970,1158,1388,1738
AZ,04,NCNTY04012N04012,La Paz County,"La Paz County, AZ",0401299999,16681,873,879,1153,1604,1934
AZ,04,METRO38060M38060,Maricopa County,"Phoenix-Mesa-Chandler, AZ MSA",0401399999,4430871,1457,1583,1839,2452,2720
AZ,04,METRO29420M29420,Mohave County,"Lake Havasu City-Kingman, AZ MSA",0401599999,214229,1053,1060,1365,1897,2090
AZ,04,NCNTY04017N04017,Navajo County,"Navajo County, AZ",0401799999,107110,937,1026,1309,1622,1733
AZ,04,METRO46060M46060,Pima County,"Tucson, AZ MSA",0401999999,1042393,967,1081,1402,1950,2245
AZ,04,METRO38060M38060,Pinal County,"Phoenix-Mesa-Chandler, AZ MSA",0402199999,433338,1457,1583,1839,2452,2720
AZ,04,NCNTY04023N04023,Santa Cruz County,"Santa Cruz County, AZ",0402399999,47838,778,860,1129,1570,1615
AZ,04,METRO39150M39150,Yavapai County,"Prescott Valley-Prescott, AZ MSA",0402599999,237830,1129,1309,1637,2277,2497
AZ,04,METRO49740M49740,Yuma County,"Yuma, AZ MSA",0402799999,204374,1046,1053,1382,1892,2318
AR,05,NCNTY05001N05001,Arkansas County,"Arkansas County, AR",0500199999,17024,670,703,922,1159,1547
AR,05,NCNTY05003N05003,Ashley County,"Ashley County, AR",0500399999,19018,666,671,880,1055,1476
AR,05,NCNTY05005N05005,Baxter County,"Baxter County, AR",0500599999,41801,730,735,964,1274,1276
AR,05,METRO22220M22220,Benton County,"Fayetteville-Springdale-Rogers, AR MSA",0500799999,286528,1007,1115,1347,1873,2213
AR,05,NCNTY05009N05009,Boone County,"Boone County, AR",0500999999,37662,607,671,880,1224,1343
AR,05,NCNTY05011N05011,Bradley County,"Bradley County, AR",0501199999,10461,630,710,880,1212,1476
AR,05,NCNTY05013N05013,Calhoun County,"Calhoun County, AR",0501399999,4773,724,771,1011,1212,1425
AR,05,NCNTY05015N05015,Carroll County,"Carroll County, AR",0501599999,28362,658,742,954,1144,1345
AR,05,NCNTY05017N05017,Chicot County,"Chicot County, AR",0501799999,10234,630,671,880,1150,1282
AR,05,NCNTY05019N05019,Clark County,"Clark County, AR",0501999999,21469,730,731,880,1221,1356
AR,05,NCNTY05021N05021,Clay County,"Clay County, AR",0502199999,14537,658,671,880,1191,1240
AR,05,NCNTY05023N05023,Cleburne County,"Cleburne County, AR",0502399999,24948,684,735,955,1228,1295
AR,05,NCNTY05025N05025,Cleveland County,"Cleveland County, AR",0502599999,7548,630,671,880,1055,1240
AR,05,NCNTY05027N05027,Columbia County,"Columbia County, AR",0502799999,22707,647,688,903,1191,1196
AR,05,NCNTY05029N05029,Conway County,"Conway County, AR",0502999999,20782,607,671,880,1224,1448
AR,05,METRO27860MM3700,Craighead County,"Jonesboro, AR HUD Metro FMR Area",0503199999,111038,805,870,1040,1402,1480
AR,05,METRO22900M22900,Crawford County,"Fort Smith, AR-OK MSA",0503399999,60593,683,714,937,1266,1532
AR,05,METRO32820M32820,Crittenden County,"Memphis, TN-MS-AR HUD Metro FMR Area",0503599999,47945,1060,1154,1274,1683,1959
AR,05,NCNTY05037N05037,Cross County,"Cross County, AR",0503799999,16827,630,671,880,1224,1476
AR,05,NCNTY05039N05039,Dallas County,"Dallas County, AR",0503999999,6472,630,671,880,1207,1240
AR,05,NCNTY05041N05041,Desha County,"Desha County, AR",0504199999,11285,630,671,880,1208,1476
AR,05,NCNTY05043N05043,Drew County,"Drew County, AR",0504399999,17309,664,706,927,1224,1227
AR,05,METRO30780M30780,Faulkner County,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",0504599999,124611,984,989,1147,1540,1822
AR,05,NCNTY05047N05047,Franklin County,"Franklin County, AR",0504799999,17160,666,671,880,1094,1476
AR,05,NCNTY05049N05049,Fulton County,"Fulton County, AR",0504999999,12183,630,746,880,1145,1321
AR,05,METRO26300M26300,Garland County,"Hot Springs, AR MSA",0505199999,100021,829,834,1090,1393,1670
AR,05,METRO30780N05053,Grant County,"Grant County, AR HUD Metro FMR Area",0505399999,18022,795,800,968,1226,1539
AR,05,NCNTY05055N05055,Greene County,"Greene County, AR",0505599999,45954,648,772,905,1259,1492
AR,05,NCNTY05057N05057,Hempstead County,"Hempstead County, AR",0505799999,20037,650,692,908,1188,1404
AR,05,NCNTY05059N05059,Hot Spring County,"Hot Spring County, AR",0505999999,33129,613,671,880,1155,1282
AR,05,NCNTY05061N05061,Howard County,"Howard County, AR",0506199999,12779,632,673,883,1059,1272
AR,05,NCNTY05063N05063,Independence County,"Independence County, AR",0506399999,37910,684,688,891,1175,1180
AR,05,NCNTY05065N05065,Izard County,"Izard County, AR",0506599999,13748,630,715,880,1202,1476
AR,05,NCNTY05067N05067,Jackson County,"Jackson County, AR",0506799999,16784,630,671,880,1055,1165
AR,05,NCNTY05069N05069,Jefferson County,"Jefferson County, AR",0506999999,66934,697,728,937,1224,1241
AR,05,NCNTY05071N05071,Johnson County,"Johnson County, AR",0507199999,25925,633,674,884,1083,1246
AR,05,NCNTY05073N05073,Lafayette County,"Lafayette County, AR",0507399999,6277,630,671,880,1055,1240
AR,05,NCNTY05075N05075,Lawrence County,"Lawrence County, AR",0507599999,16258,630,671,880,1089,1375
AR,05,NCNTY05077N05077,Lee County,"Lee County, AR",0507799999,8666,630,671,880,1224,1240
AR,05,NCNTY05079N05079,Lincoln County,"Lincoln County, AR",0507999999,13016,630,671,880,1224,1240
AR,05,METRO45500N05081,Little River County,"Little River County, AR HUD Metro FMR Area",0508199999,12024,666,671,880,1166,1170
AR,05,NCNTY05083N05083,Logan County,"Logan County, AR",0508399999,21247,607,803,880,1224,1362
AR,05,METRO30780M30780,Lonoke County,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",0508599999,74292,984,989,1147,1540,1822
AR,05,METRO22220M22220,Madison County,"Fayetteville-Springdale-Rogers, AR MSA",0508799999,16737,1007,1115,1347,1873,2213
AR,05,NCNTY05089N05089,Marion County,"Marion County, AR",0508999999,16905,650,692,908,1132,1280
AR,05,METRO45500M45500,Miller County,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",0509199999,42682,859,868,1101,1369,1657
AR,05,NCNTY05093N05093,Mississippi County,"Mississippi County, AR",0509399999,40361,624,671,880,1161,1165
AR,05,NCNTY05095N05095,Monroe County,"Monroe County, AR",0509599999,6787,660,671,880,1055,1240
AR,05,NCNTY05097N05097,Montgomery County,"Montgomery County, AR",0509799999,8555,630,803,880,1096,1240
AR,05,NCNTY05099N05099,Nevada County,"Nevada County, AR",0509999999,8292,652,694,911,1092,1284
AR,05,NCNTY05101N05101,Newton County,"Newton County, AR",0510199999,7243,614,803,880,1055,1476
AR,05,NCNTY05103N05103,Ouachita County,"Ouachita County, AR",0510399999,22606,630,694,880,1133,1240
AR,05,METRO30780M30780,Perry County,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",0510599999,10055,984,989,1147,1540,1822
AR,05,NCNTY05107N05107,Phillips County,"Phillips County, AR",0510799999,16373,630,671,880,1224,1407
AR,05,NCNTY05109N05109,Pike County,"Pike County, AR",0510999999,10205,630,803,880,1224,1274
AR,05,METRO27860N05111,Poinsett County,"Poinsett County, AR HUD Metro FMR Area",0511199999,22997,681,685,880,1161,1165
AR,05,NCNTY05113N05113,Polk County,"Polk County, AR",0511399999,19384,642,703,897,1076,1188
AR,05,NCNTY05115N05115,Pope County,"Pope County, AR",0511599999,63475,647,715,938,1254,1258
AR,05,NCNTY05117N05117,Prairie County,"Prairie County, AR",0511799999,8217,630,671,880,1150,1240
AR,05,METRO30780M30780,Pulaski County,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",0511999999,398322,984,989,1147,1540,1822
AR,05,NCNTY05121N05121,Randolph County,"Randolph County, AR",0512199999,18619,630,681,880,1224,1282
AR,05,NCNTY05123N05123,St. Francis County,"St. Francis County, AR",0512399999,23138,661,703,923,1161,1310
AR,05,METRO30780M30780,Saline County,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",0512599999,123988,984,989,1147,1540,1822
AR,05,NCNTY05127N05127,Scott County,"Scott County, AR",0512799999,9871,630,671,880,1159,1240
AR,05,NCNTY05129N05129,Searcy County,"Searcy County, AR",0512999999,7880,630,671,880,1224,1240
AR,05,METRO22900M22900,Sebastian County,"Fort Smith, AR-OK MSA",0513199999,128184,683,714,937,1266,1532
AR,05,NCNTY05133N05133,Sevier County,"Sevier County, AR",0513399999,15913,666,671,880,1097,1210
AR,05,NCNTY05135N05135,Sharp County,"Sharp County, AR",0513599999,17422,659,671,880,1224,1432
AR,05,NCNTY05137N05137,Stone County,"Stone County, AR",0513799999,12393,651,693,909,1264,1281
AR,05,NCNTY05139N05139,Union County,"Union County, AR",0513999999,38815,714,718,923,1111,1301
AR,05,NCNTY05141N05141,Van Buren County,"Van Buren County, AR",0514199999,15900,630,671,880,1186,1240
AR,05,METRO22220M22220,Washington County,"Fayetteville-Springdale-Rogers, AR MSA",0514399999,247331,1007,1115,1347,1873,2213
AR,05,NCNTY05145N05145,White County,"White County, AR",0514599999,77118,630,734,880,1149,1165
AR,05,NCNTY05147N05147,Woodruff County,"Woodruff County, AR",0514799999,6259,630,803,880,1157,1240
AR,05,NCNTY05149N05149,Yell County,"Yell County, AR",0514999999,20342,687,692,880,1224,1358
CA,06,METRO41860MM5775,Alameda County,"Oakland-Fremont, CA HUD Metro FMR Area",0600199999,1663823,2142,2385,2912,3724,4413
CA,06,NCNTY06003N06003,Alpine County,"Alpine County, CA",0600399999,1515,1068,1165,1529,2126,2527
CA,06,NCNTY06005N06005,Amador County,"Amador County, CA",0600599999,40577,1387,1396,1698,2220,2714
CA,06,METRO17020M17020,Butte County,"Chico, CA MSA",0600799999,213605,1155,1270,1625,2260,2726
CA,06,NCNTY06009N06009,Calaveras County,"Calaveras County, CA",0600999999,45674,1078,1175,1542,2145,2316
CA,06,NCNTY06011N06011,Colusa County,"Colusa County, CA",0601199999,21811,989,995,1306,1723,1729
CA,06,METRO41860MM5775,Contra Costa County,"Oakland-Fremont, CA HUD Metro FMR Area",0601399999,1162648,2142,2385,2912,3724,4413
CA,06,NCNTY06015N06015,Del Norte County,"Del Norte County, CA",0601599999,27462,957,1222,1370,1905,2277
CA,06,METRO40900M40900,El Dorado County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",0601799999,191713,1748,1832,2255,3002,3460
CA,06,METRO23420M23420,Fresno County,"Fresno, CA HUD Metro FMR Area",0601999999,1008280,1347,1355,1664,2314,2660
CA,06,NCNTY06021N06021,Glenn County,"Glenn County, CA",0602199999,28657,939,1038,1362,1807,2179
CA,06,NCNTY06023N06023,Humboldt County,"Humboldt County, CA",0602399999,136132,1112,1186,1550,2156,2600
CA,06,METRO20940M20940,Imperial County,"El Centro, CA MSA",0602599999,179578,939,1038,1362,1845,2285
CA,06,NCNTY06027N06027,Inyo County,"Inyo County, CA",0602799999,18829,1058,1381,1514,1940,2540
CA,06,METRO12540M12540,Kern County,"Bakersfield-Delano, CA MSA",0602999999,906883,1132,1140,1483,2062,2488
CA,06,METRO25260M25260,Kings County,"Hanford-Corcoran, CA MSA",0603199999,152515,1150,1157,1469,2043,2451
CA,06,NCNTY06033N06033,Lake County,"Lake County, CA",0603399999,68024,1173,1181,1549,2154,2599
CA,06,NCNTY06035N06035,Lassen County,"Lassen County, CA",0603599999,31873,882,1016,1279,1779,2146
CA,06,METRO31080MM4480,Los Angeles County,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",0603799999,9936690,1863,2085,2601,3298,3672
CA,06,METRO23420M31460,Madera County,"Madera County, CA HUD Metro FMR Area",0603999999,157243,1055,1062,1376,1914,2275
CA,06,METRO41860MM7360,Marin County,"San Francisco, CA HUD Metro FMR Area",0604199999,260485,2485,2977,3604,4604,4772
CA,06,NCNTY06043N06043,Mariposa County,"Mariposa County, CA",0604399999,17130,1016,1148,1454,2022,2439
CA,06,NCNTY06045N06045,Mendocino County,"Mendocino County, CA",0604599999,91145,1269,1306,1713,2382,2789
CA,06,METRO32900M32900,Merced County,"Merced, CA MSA",0604799999,282290,1116,1213,1503,2067,2503
CA,06,NCNTY06049N06049,Modoc County,"Modoc County, CA",0604999999,8651,774,883,1108,1434,1831
CA,06,NCNTY06051N06051,Mono County,"Mono County, CA",0605199999,13219,1171,1528,1675,2330,2769
CA,06,METRO41500M41500,Monterey County,"Salinas, CA MSA",0605399999,437609,2173,2232,2684,3623,3945
CA,06,METRO34900M34900,Napa County,"Napa, CA MSA",0605599999,137384,1912,2113,2773,3532,4134
CA,06,NCNTY06057N06057,Nevada County,"Nevada County, CA",0605799999,102322,1373,1382,1813,2521,3041
CA,06,METRO31080MM5945,Orange County,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",0605999999,3175227,2682,2746,3236,4393,5246
CA,06,METRO40900M40900,Placer County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",0606199999,406608,1748,1832,2255,3002,3460
CA,06,NCNTY06063N06063,Plumas County,"Plumas County, CA",0606399999,19650,973,1075,1411,1962,1995
CA,06,METRO40140M40140,Riverside County,"Riverside-San Bernardino-Ontario, CA MSA",0606599999,2429487,1692,1777,2201,2912,3514
CA,06,METRO40900M40900,Sacramento County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",0606799999,1579211,1748,1832,2255,3002,3460
CA,06,METRO41940N06069,San Benito County,"San Benito County, CA HUD Metro FMR Area",0606999999,64753,2205,2212,2902,3944,4190
CA,06,METRO40140M40140,San Bernardino County,"Riverside-San Bernardino-Ontario, CA MSA",0607199999,2180563,1692,1777,2201,2912,3514
CA,06,METRO41740M41740,San Diego County,"San Diego-Chula Vista-Carlsbad, CA MSA",0607399999,3289701,2288,2459,3001,3998,4845
CA,06,METRO41860MM7360,San Francisco County,"San Francisco, CA HUD Metro FMR Area",0607599999,851036,2485,2977,3604,4604,4772
CA,06,METRO44700M44700,San Joaquin County,"Stockton-Lodi, CA MSA",0607799999,779445,1288,1395,1742,2423,2922
CA,06,METRO42020M42020,San Luis Obispo County,"San Luis Obispo-Paso Robles, CA MSA",0607999999,281712,1732,1914,2512,3370,3861
CA,06,METRO41860MM7360,San Mateo County,"San Francisco, CA HUD Metro FMR Area",0608199999,754250,2485,2977,3604,4604,4772
CA,06,METRO42200M42200,Santa Barbara County,"Santa Maria-Santa Barbara, CA MSA",0608399999,445213,2459,2746,3124,4075,4647
CA,06,METRO41940M41940,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",0608599999,1916831,2621,2982,3483,4602,5010
CA,06,METRO42100M42100,Santa Cruz County,"Santa Cruz-Watsonville, CA MSA",0608799999,268571,3179,3298,4214,5377,5659
CA,06,METRO39820M39820,Shasta County,"Redding, CA MSA",0608999999,181852,1172,1212,1590,2211,2667
CA,06,NCNTY06091N06091,Sierra County,"Sierra County, CA",0609199999,2916,1068,1165,1529,2126,2527
CA,06,NCNTY06093N06093,Siskiyou County,"Siskiyou County, CA",0609399999,44049,962,969,1249,1737,1915
CA,06,METRO46700M46700,Solano County,"Vallejo, CA MSA",0609599999,450995,1567,1705,2178,2911,3297
CA,06,METRO42220M42220,Sonoma County,"Santa Rosa-Petaluma, CA MSA",0609799999,488436,1949,2155,2827,3887,4147
CA,06,METRO33700M33700,Stanislaus County,"Modesto, CA MSA",0609999999,552063,1255,1356,1758,2442,2823
CA,06,METRO49700M49700,Sutter County,"Yuba City, CA MSA",0610199999,99101,1166,1272,1550,2156,2600
CA,06,NCNTY06103N06103,Tehama County,"Tehama County, CA",0610399999,65484,952,1038,1362,1865,2285
CA,06,NCNTY06105N06105,Trinity County,"Trinity County, CA",0610599999,15889,829,916,1202,1636,1655
